content,data
"..장위동 정담초밥🥁🛋🎉저녁 메뉴 고민하다가 발견한 맛집👏👏우동도 무한 리필종류도 다양하고다 먹었나 싶으면 또 나오고🙀😻마지막 새우튀김🍤을 곁들인 마끼까지너무 푸짐하게 배불리 먹은 저녁식사👍🥰""맛있게 잘 먹었습니다~""#정담초밥장위점#장위동맛집추천#초밥맛집#마끼#맛집스타그램 #건강한삶의가치나눔 #행복한하루#먹팔 #맞팔환영#대한민국구석구석 #소통스타그램",2021-12-01
너무 너무 행복한 연말이 되고 있는 소울이^^#오늘은#계탄날 노만강 친구들의 귀여운#크리스마스카드 받고 #어드벤트캘린더 #쿠키박스 득템했어요!!!#한남동#휘튼테리어소울#행복한하루 #thanks#normansgang #happyholidays🎄 #arrivals#cutie#christmascard #ngsecretgangster2021 #nggetslit #happy#fridaynight,2021-12-03
.몇번을 와도 그때마다 멋있는 장소✌️💕 처음갈때는 다리에 힘이 없어 대장봉 올라갈때도@@ 헥헥 거렸었는데😅😵‍💫이젠 가뿐하게 클리어~ 올라가보면 경치는 예술🎉🎊그래서 등산 다니는 거구나🏔🥾했었지매력있어*^^*#군산#신시도#무녀도#선유도#장자도#대장도#대장봉#여행#등산#건강한삶의가치나눔#하루만보걷기#행복한하루#인증샷#차박여행,2021-11-16
.무서운 고비를 넘기고 나서정기적으로 병원 다닌지 17개월 만에 이젠 크게 두드러지는 증상만 없다면일년에 한번 검사만 하자는 주치의교수님 허락을 받았다~~😍😍너무 인간미 넘치시고 그냥 옆집 오빠처럼 편안하게 말씀해주시고후유증 없이 잘 치료해주신한양대 신경외과 실력자 이형중 교수님 진심으로 감사드립니다~👍❤️병원 갈때마다 옆에 있어주는 엄마딸 정말 고맙고 사랑한다~^^함께 먹은 열우동 짱 맛있었어🍜👍👏#한양대학교병원#신경외과#이형중교수님#건강한삶의가치나눔 #초보등린이🐥#하루만보걷기 #등산스타그램#행복한하루#맞팔환영#열우동정식,2021-12-02
.동기들과 산행모임 첫참석배울게 많고 나눔이 일상인 동기들좋은 사람들이 함께여서 난 행복한 사람~#봉화산#강촌역#등산 #문배마을#춘천닭갈비#가을#단풍#하루만보걷기#행복한하루#코웨이_서울북부총국,2021-11-14
.가을 단풍 주왕산이 예쁘다 해서 간건데🍁🍂너무 늦어서 단풍은 보질 못해 아쉬웠지만 이것저것 볼거리가 많아서 즐거운 산행이었다~내년 가을엔 날짜 잘 맞춰서 다시 한번더 도전~~#주왕산#대전사#주봉#단풍#용추폭포협곡#용연폭포#절구폭포#주산지#하루만보걷기#행복한하루#등산#맞팔해요 #건강한삶의가치나눔#대한민국구석구석 #초보등린이,2021-11-13
.제주 2일차...🥰🥰애월 카페거리에 있는 투애월펜션호스트분도 너무 친절하시다^^다음에 또 찾아오고 싶을 정도로..👍👏👏아침엔 한담해변산책로도 다녀오고예쁜 카페들도 찾아가 본다~😍😍#애월카페거리 #한담해안산책로#투애월펜션 #뷰스타그램#제주여행 #힐링여행 #건강한삶의가치나눔 #행복한하루 #여행은_너무_짧아#제주는항상옳다 #좋아요반사#커피좋아,2021-12-04
.우리나라 최북단에 있는 섬 백령도⛴⚓️🏝속에 두무진👍🎉이에요. 백령도에 간다면 꼭 들려야하는 명소!!갑작스럽게 떠났던 여름 휴가여행🥰이었는데경관을 보고 너무 놀라서 한참을 멍~~~~얼마나 물이 맑고 깨끗한지바위위에 앉아서 쉬고 있는 물범도 있고~👏👏여기가 어딘가~~~~@@@해외에 온듯한 기암괴석이 너무 인상적😳😳이어서꼭 다녀오라고 적극 추천👍👄#백령도#두무진#유람선#여행#섬여행#휴가#인생샷명소#추억#하루만보걷기#여행지검색 #행복한하루#건강한삶의가치나눔 #가족#힐링#소통#물범,2021-11-18
.충주 악어봉🐊🐊올해 봄에 다녀왔던곳인데 날씨가 흐리기도 했고 가을에 단풍진 모습이너무 궁금했었는데😭🎒🍁올가을 다녀 오셨던 분들은 얼마나 예뻤을까요~아쉽당#악어봉#게으른악어#충주#등산#초보등산코스#여행#힐링#가족#하루만보걷기#행복한하루 #건강한삶의가치나눔#대한민국구석구석 #등산스타그램 #초보등린이 #소통해요 #맞팔환영,2021-11-17
#짜릿함 #그냥좋다 #놀자고 #행복해지는연습해요 #인생은즐거워 #사진스타그램 #날씨좋고 #늘새로와 #행복한하루 #오랜만에만남 #다이어터환영,2021-12-08
아들바보맘❤#라바동물원홀릭#병원행차#많이좋아져서다행😄#더노력해보자#몇년만아웃백#저녁엔등갈비#하루종일고기먹방😆#행복한하루#피곤한건어쩔수없다ㅋㅋㅋ😴,2021-12-08
오랜만에 덕수궁 현대미술관박수근 전시회 관람🍀,2021-12-08
감동받아서 울었다진짜😭😭내 산타 @jjjo_oii 행복한 하루 만들어준 우리 히밍쌤❤너무너무 고마워요이건 니퍼캡으로 쓰기에 아까워서 제일 잘보이는 자리에 모셔둘게요😍,2021-12-08
소소한 일상들속에잠시 쉬어가는시간 ~~☕🍰#일상#일상기록#소소한행복#소소한일상 #카페투어☕️ #주말에뭐하지 #주말즐기기 #행복한하루 #마석카페#마석맛집#마석눈썹달 #마석반영구화장 #마석눈썹문신 #겨울준비 #뷰카페,2021-12-08
인생 최고의 하루~^^ㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍㆍ#대구 #롤링파스타 #대구랑데자뷰 #랑데자뷰 #오로라에이드 #제주감성 #핑크뮬리 #힐링독 #강아지 #귀여운강아지 #애견카페 #단체샷 #셀카 #대구동성로 #행복한하루 #최고의하루 #즐거운시간 #좋아요 #좋반 #좋아요테러 #맞팔환영,2021-12-08
.#롯데백화점#그랜드휠노을맛집.#초딩등교룩#초등등교룩#등교룩#오늘의헤어#헤어스타일#열두살소녀#울산소녀#울산맘#머리땋기#머리묶기#머리모양#헤어스타그램#초등스타그램#먹부림#먹스타그램#즐거운하루#행복한하루#맛있는하루#맛있는한끼#울산카페#울산맛집,2021-12-08
홍대 오랜만.~~,2021-12-08
#하루하루#너무#즐겁다#행복한하루#햇살좋은날#2021년#겨울#오늘도#열일모드,2021-12-08
포샵빨..화장빨..😝💞#뽀샵빨#화장빨💄#셀카#잘나왓다#퇴근준비#행복한하루#일상#소통#인친#팔로#맞팔,2021-12-08
"영하랑 크리스마스 파뤼~~🎂🎉🧁아이고~연말에 살찌겠다 ㅎ비행기팀을 이끌고 갈 차세대 영리더들~~나는 오늘 또 청일점 같지않은 청일점…내 몸속에 50%이상은 이제 여성호르몬으로 차있다.파트너들도 이제 더이상 나를 남자로 보지 않는다.부끄럼없이 내앞에서 민망한 이야기 다한다ㅎㅎ이시간…그런 수다에 함께하며 시간을 보낼수 있는 정말 행복한 남자는 바로 나~말안하면 최소한 꼰대는 면할수 있는데 근질근질한 입을 참지모하고 한마디 했다가 결국은 꼰대됨…ㅠ그래도 ""난 멈추지 않는다""#영하랑파티#U35리더#우리는수다중#난꼰대아님#행복한하루",2021-12-08
오늘 12.8  수요일에 헬스장에서 유산소 운동 클리어 ㅎㅎ#천국의계단운동 #천국의계단#해병대답게 #생체2급보디빌딩보유 #유부남의삶 #30대중반아저씨 #재미있다그램 #헬스스타그램 #헬스 #송도헬스#송도헬스장 #송도신도시헬스장 #송도신도시헬스 #매일운동중 #나태하지말자 #해병#공유스타그램 #데일리#daily #소통 #계단 #꾸준함이답이다 #부지런하게 #행복한하루,2021-12-08
오늘 12.8  수요일에 골프연습 ㅎㅎ#골프 #골프연습 #인도어연습장 #골린이#재미있다그램 #행복한하루 #공유스타그램 #매일운동하기 #나태하지말자 #송도#송도신도시 #소통#스트레스해소법 #유부남의삶 #30대중반아저씨 #행복스타그램 #공유#golf #golfstagram,2021-12-08
🍣 천국의계단 @ 한라봉스시 🍣.오랫만에 올리는 피드는 천국의계단입니당💕몇년만에 온 제주도에서 1시간을 넘게 기다려서 먹은 천국의계단🐱.웨이팅이 없었는데 음식이 나오는데 1시간이 걸려서 다신 안와야지 했는데 먹어보니 맛이 있더라구요♥️우선 나오자마자 비주얼시강에 맛까지 있어서 넘 배부르게잘 먹었는데 좀만 빨리 나왔으면🥲.날씨도 좋고 맛있는것도 먹으니 지상낙원이네요🥰.#제주도 #제주도스시 #한라봉스시 #천국의계단 #시강비주얼 #제주도날씨맑음 #제주도스시맛집 #제주도뷰맛집 #날씨도굿굿 #스시도굿굿 #행복한하루,2021-12-08
@yoon_arim @jang_kyeoung_soo 두분과 함께 💕연말보너스 받았다고 맛있는 식사 대접해주는 두분☺️어찌나 뿌듯하든지! 올해두 또 받아봅시다 😆😆#고마운마음#행복한하루,2021-12-08
✌️ 12월 8일 회원님 수익성공 ✌️(이 게시글은 회원님 동의를 받은 100% 실제후기사진입니다)육아맘 투잡 대학생 직장인 누구든 가능 📌무료상담 수익 8배~17배 100% 성공 📌수수료 100% 후불 / 당일수익 / 당일출금 📌,2021-12-08
동명동 데이트밥도 먹도 커피도 마시고 꽃도 사고...-#기분전환#행복한하루#센스쟁이#사진굿#👍#담엔어디가지#미리정하기#꽃이랑#녹는당#케이크#들고#애들한테가자#동명동맛집#분식집#동명동데이트#오늘도#즐거웠어요❤️,2021-12-08
일본 올 때마다 꼭 먹어주는 모토무라 규카츠!!!!!!,2021-12-08
