content,data
#오늘뭐입지#얘이거입어#이거안들고뭐하니#이거신으라니까#오늘의출근룩#04;55분#비몽사몽룩#내가뭘입고나왔는지 #나도잘몰라룩#사오정모자는왜썼니??#🤣🤣🤣#아체력딸려#늙었다#옛날엔끄떡없었는데#밤을꼬박새우고도말이야 #슬프다#그래도도전#그래서프로#ootd #style #stylist #daily #dailylook #man #manstyle #mansfashion #fashion#l4l #f4f,2021-07-28
더 많은 유머 👉🏻 @vvilgil_ ━ 와...━ 좋아요+팔로우감사합니다♥ (｡•̀ᴗ-)✧━#영화 #영화추천 #감동 #슬픈영화 #반전 #스포주의 #슬프다 #부모님 #차태현,2021-12-05
06.24🏃🏻‍♀️달이 너무 예뻤는데 내 비루한 폰으론 담기질 않네🥲,2021-06-24
어제밤의 모습...오늘 복귀했습니다..그렇습미다🥲후다닥 가버린 휴가잠시나마 행복했숩니다복귀는 늘 슬픈것#그림그리기 #그림쟁이 #그림계정 #그림일기 #일상기록 #일상툰 #인스타툰 #인스타툰그램 #드로잉스타그램 #낙서 #드로잉 #일러스트 #일러스트그램 #캐릭터일러스트 #프로크리에이트 #아이패드그림 #아이패드드로잉 #손그림 #복귀 #슬프다 #잠시나마행복했다 #벌써보고싶다 #군인스타그램 #여군,2021-09-24
이제 여기 출입금지라네요안전상의 이유라는데...추후에 또 오픈 될지 모르겠네요...#백패커 #백패킹 #백패킹성지 #사고로인한안전상출입금지 #박지폐쇄 #슬프다 #겨울에 #구만동굴 #구만동굴폐쇄,2021-06-22
#오늘은 #내생일 #축하해🎉 #친구들 #아주좋아 #고마워 #친구 #동생 #전남 #충남 #천안 #맞팔선팔환영 #행복해 #뜻깊은시간 #좋아 #슬프다 #놀수있을때놀자 #고마워 #진심 #가을코디,2021-10-30
#샤인머스켓 만 안먹었어도.....🤦🏻‍♀️ 서성재에서 간식먹고 쉬다 올라가는데 갑자기 비 ☔️많이 내린건 아니였지만.....#가야산정상 #상왕봉 도착했는데 진짜 말도 안돼 😩완전 뿌옇게 #곰탕 이라니........너무 #슬프다 😰😭😨😱......#가야산 #만물상코스 #가야산국립공원 #국립공원스탬프투어 #정상인증샷 #등산 #산행 #힐링산행 #등산스타그램 #산스타그램 #등산간식 #등산먹방 #등산소통 #등산기록 #가을산행 #초보등산러 #등린이 #1주3산 #등린이의도전 #등산꿈나무,2021-10-24
모든게 다 혼란스럽다다 내려놓고 혼자 떠나고싶은 심정내맘을 헤아려주는 사람은 단한사람도 없다는게너무 슬픈 오늘이다....#투에고 #나는가끔내가싫다가도애틋해서#책추천 #촣은글귀 #짧은글귀 #공감글귀#우울글귀 #글귀추천 #취미 #손글씨 #캘리그라피 #끄적끄적 #음주캘리#슬프다 #떠나고싶다 #일상 #취하고싶다#애틋하다 #슬픔 #눈물 #자아 #나는누구#여긴어디 #생각 #암울 #미친척 #수면제#가면 #웃음뒤슬픔,2021-10-30
..인간보다동물이 덜고통스러울 것이라고생각하지마라.고통은인간과 동물에게똑같이고통스럽다. Aco집사ㅡ#책이름 : #카밍시그널 #글 #오늘도 #멍스타그램 #고통은 #사람이나 #동물이나 #똑같다 #그러나 #그들은 #말하지 #못하기에 #더욱 #아픔이다 #우리는 #눈물을 #흘리지만 #동물은 #피눈물을 #흘리고 #통증에 #더욱 #민감함 #이다 #스스로를 #돕지 #못함이 #슬프다 #견생견사 #루이스제이,2021-09-24
떨어져찌만 연습한게 아쉬워서 남긴다...😭😭😫😫😫😫😫#뮤지컬오디션 #오디션영상 #슬프다 #다음기회에 #갈길이멀다 #지정안무,2021-12-08
