content,data
그래 난 너희로 만족할게……. 덩크 서울이야 리셀로 사면 되지 머 ㅠㅠ#서울덩크 #인스타라플한번만 #한번이안되냐 #스캇을노렸어야지 #슬픈하루,2021-08-11
나 또 배달했어📦내가 운송업자인지 교사인지 모르겠어😊..#교재배달 #가정방문 #택배왔어요 #오늘도 #5층까지 #있음에감사 #강풍주의보인데 #나만여름옷 #😂 #사회적거리두기 #마스크필수 #애들이몰라봐 #슬픈하루,2020-04-21
홍대st 셀카 모음집😖매력없는 나도 매력이 생기길🤗.....#강남 #신림 #홍대 #홍대st #귀찌 #스핀스왈로펌 #남자머리 #갬성 #셀카충 #셀기꾼 #슬픈하루 #스마일 #ootd #dailylook #pp #석이 #vV,2019-12-01
"#추모 2021.9.1🌈@rooney0328 .루니는 거짓말쟁이!쭈쭈랑 올해안에 꼭 놀기로 약속해놓고서. . .산책도 가치하자고 해놓고. . .기어코 결국은. . 약속도 안지키고 머가그리급하길래. . .이모랑 쭈쭈얼굴한번 보지도않고 가버리니. . ..널 작년 인스타에서 첨본순간 반해버렸어! 쭈쭈랑 동갑이고 생일도비슷해서 더더욱 마음이갔고, 마냥 이쁘고 해맑고, 쭈쭈와 다른성격에 늘 널보는 기쁨이컸는데, 왜하필 너야! 왜!!!.니가좋아해서 기운내라고 보내준삼계탕과 한우사골이 오늘 하필 도착하는게 더더욱 하루종일 가슴이 미어지는구나. . .먹이지못하고 보낸게 너무미안해. . .좋아하고 사랑했어🙏❤️ 너보고싶을때 니영상사진볼거야.근데. . 벌써 너의 옹알이가 그립다 루니야..그리운 루니야.  똑똑했던 루니🐶.유독 마음이가고 좋아했던 너이기에 이모가 마니아프다. . .먼훗날 쭈쭈가 루니별로갔을때 올해못놀았던거 실컷놀으렴ㅠ하늘에서 친구 쭈쭈 아프지않게 잘지켜줄거지?.쉴새없이 눈물만흐르고 가슴이터지도록 아프고 속상해. . 잉불수명조차 다하지못한채 가버린 안타까운 루니. . .우리루니 생각할수록 너무힘들지만, 잉불의 최고 행복하고 사랑스러운아이로 모두가 기억할테니,맘편하게 떠나렴. .널영원히기억할게🙏🖤그곳에선 아프지말고 똥골뱅처럼 니가 짱먹어야해! 사랑해루니야💖.#무지개다리 #무지개다리건너간천사 #추모합니다#펫로스증후군#이런기분인가#눈물샘고장#믿기지않은현실을받아들여야하는비참한하루 #슬픈하루#반려견과헤어진다는건#그립다그리워",2021-09-01
"#슬픈하루 #삼가고인의명복을빕니다▶◀ 비록 다른 회사가 되었지만, 사회생활의 시작부터 지금까지 15년째 한결같이 만나며 삶의 궤적이 참 많이 닮은 형님의 빙부상. 최근 힘든 시간을 함께 버티며, 저에게 가장 큰 힘이 되어주시고,  지금 저에게 가장 의지가 되는 형님의 모친상. 소중한 두 분의 형님들이 같은 날 소중한 분들을 하늘나라로 보내셨습니다.  그래서 오늘 두 장례식장을 다녀왔습니다.  원주를 다녀와서 많이 피곤했지만, 형님들을 꼭 뵙고 인사드리고 싶은 맘에 집에 도착하자마자 옷을 갈아입고 바로 장례식장으로 향했습니다. 은평성모병원과 인하대병원까지 늦은 시간 운전을 하는 것은 힘들었지만, 그래도 장례식장에 계시는 형님들 얼굴을 보고는 오기를 잘했다는 생각을 했습니다. 그냥 함께 있는 것 만으로 힘이 될 때가 있습니다. 말하지 않아도 손을 한번 맞잡는 것 만으로 힘이 될 때가 있습니다.형님, 잘 모시시고 돌아오시면 소주한잔 같이 하시죠. 어떤 말로도 위로가 되지 않겠지만, 힘내십쇼. 다시 한번 더 삼가 고인의 명복을 빕니다. ps. 이제 집에 와서 맥주 한잔을 하는 데, 맘이 저리며, 이런저런 생각도 너무 많은 밤입니다. @우리집",2021-02-28
#써니파주밥상 어제 저녁친구가 놀러와서 특별하게 치마살구워드림🤭다이어트중이라고해서 같이 샐러드 먹었댱진짜 후무스고기는 입아프도록 칭찬해야해😭이번에 새로 올리브유사서 오리엔탈소스만들었는데 쫌 잘만들었고요?나의사랑 로켓와우에서 산 올리브유 맛있당#솔레르로메로유기농엑스트라버진올리브오일올리브오일2 간장1 레몬즙3 알룰로스2 후추약간이번주 식단도 클린하게먹고 월요일부터 술도 안마시고 하루에 운동도 한시간은 한거같은데 0.1g도 안빠짐🙄 그나저나 땅끄부부 찐핵핵매운맛나와서 하다가 저세상 가는줄🤭 찐핵매운맛+찐핵핵매운맛 하면 죽겠지..?현타오는아침 빡쳐서 라떼도 마시고 과자도먹었다🥲간식이 너무 많은 회사다니는건 문제가 많은거같다.살아 왜 안빠지는거니,2021-05-28
"얼마 전 베리 어금니가 살짝 떨어져 나간 걸 발견했다.황당하게도 개껌을 먹다가 부러진 듯했다. 피도 살짝 보이고 해서 병원을 갔는데 선생님 말씀이 딱딱한 간식이나 장난감으로 인해 강아지 이빨이 부러질 수도 있다고 하셨다. 이런 일은 정말 드문 경우지만…정밀 검사 후 최악의 경우엔 이빨을 발치해야 된다고 하셨다. 하지만 살짝 나간 것처럼 보였기 때문에 발치까지 할 일은 없겠지 생각했다..그러나 검사를 해보니 어금니가 완전 부서져 있었다. 이건 신경치료가 아니라 발치를 해야 된다고 하셨다. 게다가 다른 곳도 두 곳이나 조금 부서져 있었다. 강아지가 격하게 노는 걸 좋아하냐고 물으시던데 맞아요… 베리는 딱딱한 음식도 순식간에 해치우고 과격하게 노는걸 좋아해서 난 그걸 열심히 맞춰준다고 해준 거였는데 이게 이런 결과를 낳다니. 베리가 그동안 많이 아팠을 거라고 하셨다. 그 말 듣고 눈물이 많이 났다. 아픈 기색 하나 없이 맨날 웃고 있어서 그렇게 아플 거라고는 상상도 못했다.곧 3살을 앞둔 아직 어린 강아지인데 어금니 발치.. 치석 등의 관리 문제도 아니고 단지 단단한 물건으로 인한 문제라니… 마음이 많이 아프다.그렇게 어금니 발치와 깨진 이빨 두 곳에 레진을 받고 집으로 퇴원하였다.베리야 수술하느라 정말 고생했어. 잘 참아줘서 고마워..이 글이 다른 분들에게 조금이나마 도움이 됐으면 좋겠다. 여러분, 딱딱한 물건에 대한 위험성이 이렇게 커지기도 합니다. 평소 저와 같은 상황이셨던 분들은 조금만 주의해서 이와 같은 일을 겪지 맙시다!",2019-08-15
"오늘 웰리힐리파크 스키+워터파크 시즌권 판매일인데,웰리힐리하프파이프 2021시즌 미운영이라고 유의사항에 아~주 작게 나와있네요. 하프파이프도 점점 사라져 가는구나 슬프다. #웰리힐리 #하프파이프 #미운영 #슬픈하루 #시즌권",2020-07-24
#마음은 #착잡하고 #우울하고 #슬픈하루 #그분만이아심 #수유리맛집 #응암동맛집 #신촌맛집 #지이크 #파렌하이트 #씨 #베스띠벨리x메간헤스 #그래도 #그러함에도불구하고 #둘러보기 #격려하기 #힘냅시다 #범사에감사,2020-02-20
".이틀 전에 사진첩 보다가 할머니는 잘 지내시는지, 아픈데는 없는지 영 마음에 남았었는데 오늘 돌아가셨다는 소식을 들었다.일하다가 놀라서 현지인 동료에게 요즘 장례식에 가도 되는지 카락에 가는게 어떤지 물어보니 아무래도 위험 할 것 같다고 해서 가지 못 했다.13살인가 14살에 결혼하셨다길래 혹시 강제조혼 당하신건가 싶었는데 할아버지가 잘생겨서 결혼했다던 할머니😌온 가족 모이는 이드 명절에 아랍어도 잘 못 하는 왠 외국인이 손녀라고 왔는데 전혀 거리낌 없이 안아주던 할머니🥲 만사프 만드는 법도 보여주시고 뒤뜰의 무화과와 포도도 잔뜩 가져다 주시던 할머니😢 할머니, 잠깐이었을지 모르지만 서로의 인생의 여정 중 이렇게 만날 수 있어서 감사했어요. 평안하셔요. #카락할머니 #슬픈하루 #누군가문득생각나면꼭연락해야지",2021-12-07
