content,data
#영암 #월출산 인스타 사진을 위한❗️등산 팁 : 밝은 옷을 입고 갈 것..#등산 #산스타그램 #목포 #여행 #여행에미치다 #운동스타그램 #헬스타그램 #유산소 #평일이면 #우울해 #산뽕 #hiking #mountains #ootd #선팔 #맞팔 #선팔하면맞팔,2021-11-30
ㅋㅋㅋㅋ 머야 이게.#pt트레이너 #그랬나 #난감 #ㅋㅋㅋㅋ ..#오늘의유머 #새로운경험 #인친님 #웃긴글 #우울해,2021-10-18
나의 우울한 일기. 가끔씩 올려볼게요?저라고 언제나 행복하진 않답니다? 행복하다가도 우울해지는게 인간이죠. 근데 이제 그게 왜그럴까 아무리 생각해도 답이 안나오는데. 나는 분명 행복한데 어째서?이유를 찾기위해 그립니다요?일단 오늘 찾은 우울의 이유는 서울의 집값이 비싸서 입니다만… 서울에 집 살 생각이 없는데 서울 집값이 비싸다고 왜 제가 우울한걸까요?..쩝 이게 진짜 이유가 맞는건지..#인스타툰 #우울해 #왤까 #퇴사원j혹시 오타가 있다면 그냥 넘어가줘요. 우울하니까?,2021-09-14
건강하게 다이어트하는게 제일 중요해🥺그래도.. 체지방안떨어지는건..넘슬프다,2021-08-06
여기보세요📷.#날씨처럼#내마음도#우중충#😢,2021-07-03
".#병원투어 하려고받은 긴오프덕분에여유진,하루를보내면서.그동안있던일들도 곱씹어보고바닥까지떨어져버린 자존감에먹으면,죄다토하는신세가되고회복이되어가나,싶을무렵어지러워 산책,방콕하니늘어만지는기분🤢.집에만있으면서, 많은생각들중아무리좋은사람이여도내가진짜힘들고필요할때 옆에없으면멀어지는구나. 다시금 느끼며인간관계,거를사람 쿨하게 걸러주고내,옆에함께해주는 사람들한테정말잘해야겠다라고 다짐했다..마음이,구리구리하다.맛있는거 먹고싶다.#끄적끄적#마음#우울해.",2021-09-08
그리고나니 아직 #11월30일#미래를그리는자#올해도이제끝나간다곧 #12월#우울해#마무리잘해야지#인스타일기장✍🏻 #인스타그림 #인스타툰 #일상툰 #일상기록,2021-11-30
나 오늘 센치행~~😉......... #lnstagram #팔로우환영 #선팔하면맞팔 #맞팔 #선팔 #맛저 #오랜만에 #셀카 #이쁜척 #소다 #어깨 #뽕 #들어간날 #대전 #갈마동 #둔산동 #괴정동 #유성 #봉명동 #만년동 #술은 #참이슬 #취하고싶다 #감정기복 #오늘따라 #심한날 #우울해 #괜히 #눈물난다 #ㅎㅎ,2021-09-14
이것저것 한꺼번에 다 몰려옴😔...#건강이최고#다귀찮아,2021-05-29
오늘의 컨셉은 귀신바가지......#소통#맞팔#의정부#재미없다#의정부미용실#콧바람#우울해,2021-12-08
#집밥#홈쿡#샌드위치#루꼴라#홀머슬햄#홀그레인머스타드#뮌스터치즈#타르틴베이커리#슬랩#마켓컬리#브런치#간단한데가격이안간단해#사드세요#먹고입안다까지고ㅋㅋㅋㅋㅋ배가안불러서#2차#감자탕#볶음밥#으로마무리#900일#인데확진자7000명이라집콕#우울해#ㅠㅠ#그래도건강이중요하니까#happyanniversary❤️#먹스타그램#맛스타그램#foodstagram#자취요리#집밥최선생,2021-12-08
나에게도 이런일이 있구나 ㅠㅠ비오는 날 엄마랑 스피커폰으로 통화하다가 나두 모르게 살짝 엑셀을 밟았는데 뒤에서 경찰차가 쫓아온것두 모르구 나만 주의했던거 같은데 살짝 밟자 마지 스피드위반으로 잡혔다 ㅠㅠ 20년살믄서 첨 있는 일 ㅠㅠ 50키로 도로에 74키로 24키로 위반이란다 벌점 2점 벌금 15000엔 ㅠㅠㅠ아 3초전으로 돌아가고 파면허증도 오늘따라 안가져가서 집까지 쫓아오고 난리도 이런난리가 없구나 얼마전 택시가 차를 박아서 그것도 머리아픈데 골치아프다 ㅠㅠㅠ#벌금딱지#골드면허끝이네#우울해,2021-12-08
다들 날 잊어버렸나봐 .....,2021-12-08
월요일에 병원 두군데 갔다가 약을 받았더니 약이 늘었다..진짜 싫어....・゜゜・(/□＼*)・゜゜・#20대 #투병스타그램 #우울스타그램 #정병스타그램 #투병일기 #갑상선기능저하증 #갑상샘저하증 #철결핍성빈혈 #질염 #내과 #부인과 #우울하다 #우울해 #우울증환자,2021-12-07
🍑...#03년생 #19살 #셀카 #일상스타그램 #좋아요 #디엠 #맞팔 #댓글 #집에만있으니답답 #그래도집에만있음 #집순이모드 #우울해,2021-12-07
"2021.11.186개월만에 수술해주신 쌤과의 진료날~다행히 검사결과는 이상무...그동안 먹는약은 얼마나 먹어야할지 물어보니 5년이라고 하신다...지금 먹는약은 뼈마디가 아프고 조금의 머리빠짐...시간이 갈수록 몸이 아파지니 선생님께 얘기하니 약을 줄일수는 없다고...상피내암인경우 줄이기도하지만 난 아주 작기는 했지만 암이기때문에 줄일수가 없다고...워낙 초기고 워낙 작았지만 무시할수는 없다고...그러니 5년간은 먹어야한다고...그리고 운동하라고...발목이 이렇게 아픈데...에휴~운동은 어찌해야할지...하루하루 흘러 10개월동안 약을 먹으니 이곳저곳 넌 아픈 사람이라고 몸이 알려주네...그나마 기분전환으로 병원가는날은 외식하는날...대창쌀국수에 오징어게임으로 인기얻은 뽑기~뽑기위한게 아닌 먹고 싶었던거라조금 깨졌지만 구입~깨진것은 천원, 안깨진것은 이천원 ㅎㄷㄷ맛있게 먹으며~ 어릴때 생각하며~자꾸 아파오니 기분이 우울~내일은 병원 가는날~기분전환으로 뭘 먹을까...뭘 먹으면 기분이 좀 나을까...잠은 안오고기분은 별로고그냥 주저리주저리끄적거리다 가네...#우울해#서울대병원#약부작용#아파요#항암약#힘내자#기분전환#화이팅",2021-12-07
⠀⚫️ + 🐶 + 기분 좋아지고 싶어서 잠깐 올리기,2021-12-07
웃고 싶은 요즘 😮‍💨#좋아요테러 #좋아요반사 #팔로우 #맞팔환영 #맞팔 #선팔하면맞팔 #선팔맞팔 #좋아요테러 #좋반 #좋아요 #좋아요반사 #팔로우 #맞팔환영 #맞팔해요 #선팔하면맞팔 #선팔 #follow4like #fff #followforfollowback #likeforlikes #like4follow #l4f #f4f #l4l #ootd #우울해 #팔로우 #instagood #instagram #daily,2021-12-07
"◾구민서 취학통지서◾제발 빨리 크라고 했지만, 막상 학교보내려니 울컥😭시간이 멈췄으면 좋겠어,,,, 힝 조금만 더 품고있고 싶은 요즘 ㅠㅠ잘해보자 , 공주야❤예비초딩 축하해? ☺🎉#동탄맘 #연년생남매 #취학통지서 #민서가초딩이라니 #초딩구민서 #우울해 #크지마 #애기조금만더해줘",2021-12-07
블링블링🌟손에쏙 현대인의 카드소지형태에 맞춘 카드지갑🎀없는물건도 찾아드립니당 회원전용 어플로 오시면 더 다양한 아이들로 만나볼수있긔 어플문의는 카톡.👆문의는 프로필 상담 링크 꾸욱 👆,2021-12-07
< 2021.12.7 >오늘 하루도 수고했어요......#사람 #상처 #다른 #누구나 #우울증 #우울해 #치료 #글 #글귀 #불면증 #인연 #연인 #운명 #사실 #감성 #감정 #감정글귀 #늦은밤 #늦은저녁 #새벽 #새벽글귀 #수고했어오늘도 #좋아요환영 #팔로우환영 #오늘밤당신은혼자가아니다,2021-12-07
"교통법규 위반...이런 거 처음 받아보니까...기념으로...박제......초보 덜덜이가...후덜덜하는 종이한장......저와 같은 시간 같은 도로 위에 계셨던,모든 분들께 죄송 ㅠㅠ(점차 좋아지겠죠...ㅠ)정의와 안전을 위해 앞장서시는여러분이 계셔서더 안심하고 초보 덜덜이가 다닙니다...굿저녁....ㅠㅠㅠ...#저도목숨걸고다녀요#초보운전#정의로운사회#교통법규위반#정의란무엇인가#정의로움#부지런함#초보의숙명#퇴근#안반가운편지#채워져있는우편함#안반가운소식#슬퍼짐#우울해#괴로워#자책중#그날을회상중#아직살아있으니다행#안전운전#반성중#네비못보는#눈이장식#후우#퇴근#일상#추억",2021-12-07
"#오늘연차연차엔 볼링.형,누나,동생들 뭘 고쳐야 하나요???200의 벽이 너무 높당..진짜 매일 쳐야하나..#볼링#볼링스타그램#볼린이#볼린이성장기#근데멈춤#볼링재밌다#근데어려워#우울해",2021-12-07
힐링이 필요해.... 요새 스트레스 받는 일들이 너무 많네 우울해 그니깐 나도 꽃 사줘#일상 #꽃다발 #꽃스타그램 #일싱스타그램 #일싱탈출 #힐링이필요해 #떠나고싶다✈️ #멀리멀리✈️ #나도꽃받고싶다 #스트레스 #우울해 #자살마렵네 #207374 #아무생각없이 #행복해지고싶다 #01년생 #낭랑21세 #이제곧22살 #인천 #서울 #구월동,2021-12-07
붓 놀리고싶은 날….#그림그리고싶은날#말대신그림#맘그림#우울해#텐션바닥#여행가고싶다#답답해,2021-12-07
#일상건강검진 결과가 아직 나오지 않았는데병원에서 전화부터 왔다.백혈구 수치가 좀 떨어졌고복부CT상 자궁쪽으로 조영제가 몰렸다.자궁초음파상으로 이상 소견이 없으니 괜찮을 거라며 추적검사만 하자고 한다.매년 고지혈증 수치도 나오니 상담예약을 잡으라고 한다.패스트푸드도 안 좋아하고담배도 안 피우고운동도 꼬박꼬박하는데 아이러니 하지만이제 내 건강은 내가 관리해야겠다는 생각만들뿐이다.(젊을때마신 술때문인가ㅜㅜ)채식습관과 붉은육류는 좀 피하고 밀가루도..또르륵..#건강검진#이게무슨일#건강샐러드 #샐러드#하루한끼샐러드#1년뒤건강검진기다려 #우울해#다둥이네 #살림 #홈쿡 #집밥,2021-12-07
...12월 하루 그적여 보는 나......#하루일기 #낙서#싱숭생숭 #우울해 #힘을주세요 #나의그 #일기 #낙서장#파주 #인친 #성경말씀 #에너지#나약해지지말자 #힘을주소서,2021-12-06
#그립다#보고싶다#우울해 #억새#要快樂 #忘記過去 #情緒管理包,2021-12-06
리경작가님이 #선물 하신 #나무향 덕분에 #우울해 #🖤,2021-12-06
우울해 ....#우울해 #거울샷 #거울샷그램 #좋아요 #좋아요반사 #좋아요테러 #좋아요그램 #팔로우 #팔로우환영 #맞팔 #맞팔해요 #맞팔환영 #디엠환영 #디엠,2021-12-06
읏츄 ₍₍ ( ๑॔˃̶◡ ˂̶๑॓)◞♡,2021-12-06
우울할땐 차에서 노래빵빵 듣는게 최고야😎,2021-12-05
아침부터 허리가 너무 아파서 #일요일 에도 하는 #한의원 가서 진료보고..종일 아파서 #찜질 하며 누워있다 이제야 #하루정리 하는..ㅠㅠ부재중전화에 이런저런 메세지에..대꾸없다고 난리치는 #친구들 .. #미안해 #이해해줘#출근 하기 싫다..어쩜 이리도 아픈곳만 자꾸 생기는지..다 정리하고 #혼자만의시간 을 보낼 수 있는 어딘가로가서 조용히 오랫동안 있다보면 나으려나..  #나좀쉬자#연락두절#주말#우울해#아파#떠나고싶다#일상#소통#공감,2021-12-05
오랜만에 외출나두 바닷가 살구싶다..#영주 #포항 #케이프라운지 #주말스타그램 #바다 #일탈이필요한요즘 #우울해 #도구해수욕장 #노을스타그램 #오랜만에셀카 #나이먹기싫다 #벌써12월2주차 #추워 #저녁은고기 #철길자갈구이 #신기방기 #럽스타그램 #❤,2021-12-05
웃는것도 힘들어...#힘들어 #괴로워 #우울해 #위로받고싶어 #혼자있고싶어 #다가와줘,2021-12-05
끝없이 찾아오는 자살충동 그리고 머릿속에서 잊혀지지 않는 그 사람왜 자꾸 꿈에 찾아와서 나를 괴롭히는건지 이해할 수 없다나를 좀 내버려뒀으면..,2021-12-05
여러분의 자존감을 어떻게 생각하고 계셨나요?오늘은 자존감에 대한 오해를 풀어봐요 :),2021-12-05
"엔진이 나가버린 자동차 안에서 열심히 시동을 켜는 느낌으로 살아가는, 말그대로 버티는 삶이다 🥲 #우울해 #노잼인생",2021-12-05
어제 사귄 외국인 친구가 나이가 몇살이냐고 묻길래28살이라고 했다.어려보인다고 하던데외국인들은 동양사람 나이를 어리게 본다더니맞는말이였어...한국에서 나 노안인데..😅외국인 친구가 예상했던 내 나이때는나 단발이였네...😊.충격적인건 그 친구는 나이는 18이였다세상에 어린 먼나라 친구를 얻었다💜#일기그램 #일기 #소통 #단발 #긴머리보다 #단발이 #괜찮아#우울해 #소통 #셀카 #셀피 #셀스타 #selfie #selca #일상#일상스타그램,2021-12-05
#짱구는#우울해~~,2021-12-05
12월달도 잘부탁해 ✌️ #젊줌마 #매일같이술먹고싶다 #양주맘 #생일로돌아가고싶어 #아들맘 #하루는놀고 #하루는육아 #주말은너무짧아 #내일도출근 #이뻐지고싶다 #다음달은 #우리아들생일 #드라이브마렵다 #우울해 #다내려놓고싶은날 #동생보고싶다 #하염없이눈물만,2021-12-05
외로워🖤...#외로워 #우울해 #혼자남겨진기분 #옥상 #옥상에서놀기,2021-12-04
인간관계에서의 스트레스는 항상 많이 받는거같아,2021-12-04
씻다가 귀걸이가 하수구로 들어간 우울한 날💧💨...#울산 #토요일 #우울해 #귀걸이 #ㅜㅜㅜㅜ #하루가우울해 #피곤해 #하아💨 #그저한숨만 #힝,2021-12-04
나도 갬덩#갬성 #힘들다 #우울 #맞을래👊 #싸우자 #우울해 #ㅆㅂ #좆같네❤️ #ㅗㅗㅎㄹㅎㄹㅇㅅㅅ호ㅓㅓㅍㅎㄹㅇㅅㅅ소켜노ㅛ녀논ㅍㄹ커내ㅠㄴ퓨나코ㅛㅛ큔퓨너코노ㅑㅋ조ㅓ냐ㅑ내나ㅠ뉴쿠ㅏ캐ㅗ커먀ㅑ마뮤머ㅓ뮤마ㅏㅓㅑㅠ마ㅗㅎㄹ료ㅗ휴먀며ㅗㅓ머커ㅓ큜호ㅠ머ㅐ랴뵤뱌ㅕ매모먀휴먀무ㅠㅛㅛㅠ며모ㅠ마ㅑ모매마ㅗ머모ㅛㅇ랴뮤뮤마므뮤뮤머ㅑ무미마ㅔ미뮤ㅓㅓ뭐ㅓㅠㅁㅎ샤ㅖㅐ뵤셔맴퍼모먀모맘ㅍ므ㅒㅁ #개같다 #죽고싶냐 #개우울하네 #아냐 #행봅해^^ #행복하다ㅆㅂ #ㅎㅎ #ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2021-12-04
❤︎なんでこんなにやる気元気が出ないのだろう🤔てか年末は毎年金欠...😂#秋 の終わり#雨の日の散歩#日常#無気力 ただただ#だるい#眠い#イライラする#部屋にいると寒い のに#外出ると暑い#ホルモンバランス 乱れてるのかな#慣れない人付き合い のせいかな#もう何でもいーや#もうどーでもいーや#ケセラセラ 〜가을아 넌 어디로 갔니? 울 엄마는 슬슬 제대로 코트를 내야겠다고 하시는데 여긴 벌써 롱패딩에 장갑에 털부츠야..그나저나 연말은 항상 돈이 없으..😭ㅋ#일상#가을 아어디갔노#비오는날산책#무기력#피곤#짜증#졸려#우울해#23도인방은춥고#5도인밖은덥고#환절기라몸이못따라가서그런지#호르몬밸런스땜인지#내몸이내몸같지가않음#코로나지겹다지겨워#육아#담달부터겨울방학인데일본가고프다,2021-12-04
동쪽 하늘#sunrise #새벽감성 #우울해,2021-12-04
힣 오늘 첫 어그신었다. 운동화만신다가 10년만(?)에 산..#어그#어그부츠#귀여워#이쁘다#내맘에쏙#데일리#데일리룩#쇼핑#패션#daily #dailylook#오늘#하루#우울해#일상#일상스타그램#맞팔#소통해요#일상공유#소통,2021-12-04
정신 차려야지.#우울해 #슬프다 #벌받는거지뭐,2021-12-03
